"id","uuid","name","description","state","postprocessing_info","hardware_info__id","hardware_info__mac","hardware_info__time","hardware_info__esp_bd","hardware_info__hw_ver","hardware_info__sam_bd","hardware_info__esp_ver","hardware_info__sam_ver","system_tags","user_tags","is_private","notify_low_battery","notify_stopped_publishing","last_reading_at","added_at","updated_at","mac_address","owner__id","owner__uuid","owner__username","owner__avatar","owner__url","owner__joined_at","owner__location__city","owner__location__country","owner__location__country_code","data__recorded_at","data__added_at","data__location__ip","data__location__exposure","data__location__elevation","data__location__latitude","data__location__longitude","data__location__geohash","data__location__city","data__location__country_code","data__location__country","data__sensors__id","data__sensors__ancestry","data__sensors__name","data__sensors__description","data__sensors__unit","data__sensors__created_at","data__sensors__updated_at","data__sensors__measurement_id","data__sensors__uuid","data__sensors__value","data__sensors__raw_value","data__sensors__prev_value","data__sensors__prev_raw_value","kit__id","kit__uuid","kit__slug","kit__name","kit__description","kit__created_at","kit__updated_at"
"13466","8f18126f-a66a-41f1-bede-12f88e85020e","PIPCiudadFuturo_57_hbecerra","Smart Citizen Kit 2.1 with Urban Sensor Board","has_published","null","85694C9D5053574C342E3120FF0D2330","52:02:91:DE:82:BF","2020-12-31T03:00:21Z","2019-08-20T13:17:16Z","2.1","2019-08-20T13:25:01Z","0.9.2-a91f850","0.9.5-a91f850","online","PIPCiudadFuturo","False","False","False","2020-12-31T14:18:56Z","2020-12-18T06:11:05Z","2020-12-31T03:00:21Z","[FILTERED]","7820","6f7208e8-5ce2-4e64-8a52-ddba75cd1df2","hbecerra","https://smartcitizen.s3.amazonaws.com/avatars/default.svg","null","2020-12-18T06:11:03Z","null","null","null","2020-12-31T14:18:56Z","2020-12-31T14:18:56Z","null","outdoor","null","20.6857774","-103.391922","9ewmxm8r3s","Guadalajara","MX","Mexico","113","111","AMS CCS811 - TVOC","Total Volatile Organic Compounds Digital Indoor Sensor","ppb","2019-03-21T16:43:37Z","2019-03-21T16:43:37Z","47","0c2a1afc-dc08-4066-aacb-0bde6a3ae6f5","20.0","20.0","22.0","22.0","26","56bec177-6d93-4001-b700-1abd8347ed87","sck:2,1","SCK 2.1","Smart Citizen Kit 2.1 with Urban Sensor Board","2019-03-21T17:02:46Z","2019-03-21T17:02:46Z"
"","","","","","","","","","","","","","","outdoor","Guadalajara","","","","","","","","","","","","","","","","","","","","","","","","","","","","112","111","AMS CCS811 - eCO2","Equivalent Carbon Dioxide Digital Indoor Sensor","ppm","2019-03-21T16:43:37Z","2019-03-21T16:43:37Z","46","995343c9-12ac-40c0-b6b9-19699e524f86","536.0","536.0","547.0","547.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","null","BH1730FVC","Digital Ambient Light Sensor","Lux","2015-02-02T18:24:56Z","2015-07-05T19:57:36Z","3","ac4234cf-d2b7-4cfa-8765-9f4477e2de5f","0.0","0.0","0.0","0.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","null","Battery SCK","Custom Circuit","%","2015-02-02T18:18:00Z","2020-12-11T16:12:40Z","7","c9ff2784-53a7-4a84-b0fc-90ecc7e313f9","-1.0","-1.0","-1.0","-1.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53","52","ICS43432 - Noise","I2S Digital Mems Microphone with custom Audio Processing Algorithm","dBA","2018-05-03T10:42:47Z","2018-05-03T10:42:54Z","4","f508548e-3fd1-44aa-839b-9bd147168481","46.59","46.59","46.9","46.9","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","57","MPL3115A2 - Barometric Pressure","Digital Barometric Pressure Sensor","K Pa","2018-05-03T10:49:17Z","2018-05-03T10:49:17Z","25","cadd2459-6559-4d92-aed1-ba04c557fed8","83.93","83.93","83.93","83.93","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","86","PMS5003_AVG-PM1","Particle Matter PM 1","ug/m3","2018-05-22T13:20:34Z","2018-05-22T13:20:34Z","27","a4b9efba-241f-446e-9cf2-918f25efd0c5","0.0","0.0","0.0","0.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","86","PMS5003_AVG-PM10","Particle Matter PM 10","ug/m3","2018-05-22T13:20:34Z","2018-05-22T13:20:34Z","13","c2072a22-4d81-4d7c-a38c-af9458b8f309","0.0","0.0","0.0","0.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87","86","PMS5003_AVG-PM2.5","Particle Matter PM 2.5","ug/m3","2018-05-22T13:20:34Z","2018-05-22T13:20:34Z","14","9ee89ac2-0482-46dd-905f-0b7a1bb12c55","0.0","0.0","0.0","0.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","54","SHT31 - Humidity","Humidity","%","2018-05-03T10:47:17Z","2018-05-03T10:47:17Z","2","b6543356-0066-4bea-8ad2-687e282f9c20","46.3","46.3","46.22","46.22","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","54","SHT31 - Temperature","Temperature","ºC","2018-05-03T10:47:15Z","2018-05-03T10:47:15Z","1","384e46a2-80dd-481e-a9fc-cfbd512f9f43","18.25","18.25","18.32","18.32","","","","","","",""
